City,Nonsense Outro
"Atlanta, Georgia","Come over tonight my room is spotless
I'm sorry this outro is so chaotic
Atlanta it's official you're the hottest"
"Baltimore, Maryland","I'm sorry that this outro is chaotic
Don't call your ex, Katie, they are toxic
Baltimore I think that you're the hottest"
"Philadelphia, Philadelphia","This crowd is giving me all the endorphins
I wish someone would rearrange my organs
Philly is the city I was born in"
"Boston, Massachusetts","You're so hot, I must proceed with caution
It's wicked awesome to be here in Boston
If your ex wants you back it's gonna cost him"
"New York, Nеw York","New York City you sold out the fastеst
That was why your second show was added
Everyone in this room is a bad bitch"
"New York, New York","New York City I would have your babies
You sold out two nights that shit is crazy
If I take a picture will you say cheese?
"Washington, D.C.", "My favorite character in Friends is Pheobe
I'll only watch the Superbowl for Riri
The hottest people ever are in D.C."
"Chicago, Illinois","Water ain't the only thing I swallow
I wish I could play right here tomorrow
My favorite city is Chicago"
"Toronto, Ontario","Toronto you're so cute, it's like a fake crowd
Put your hands up if you've been to Drake's house
Leave your hands up if you want to make out"
"Tempe, Arizona","Don't take off your shirt it's gonna tempt me
Everybody here is really sexy
Do you have a fever? Let me take your... Tempe"
"San Diego, California","I think your face alone could get me prego
Millie Bobby Brown you're my Eggo
Yeah, I'm in motherfucking San Diego"
"Los Angeles, California","I've got a personality but no tits
This song is not about Joshua Basset
Los Angeles your energy is big dick
"San Francisco, California", "If you only know the singles you're a fake fan
Anybody wanna be my best friend?
I know you know I'm gonna end with San Fran...cisco"
"Orlando, Florida","Now is when I sing you something rando
Make some noise if you came here commando
I'm a slut for you, you know, Orlando"
"Teen Vogue Summit, California",I didn't write an outro for tonight's show
The Grammy Museum,"I procrastinate, don't really plan these
Usually, I would say something nasty
But Imma keep it classy for the Grammys"
Jimmy Kimmel Live!,"Hi mom, I'm on Kimmel, wish me good luck
Can't wait to read the mean tweets saying I suck
My New Year's resolution is give no fucks"
BBC1 Radio Live Lounge,"I'm American, I am not British
So BBC, it stands for somethin' different
This Live Lounge is so lit because I'm in it
Innit, because I'm innit, you get it?
"Fort Lauderdale, Florida", "I've got a dirty mind but I am so pure
Call me Dora, his body I explore
Fort Lauderdale, you're kicking off the whole tour"
"St. Petersburg, Florida","St. Petersburg that is so many syllables
I heard the lips here are like super kissable
He asked how many fingers I said minimal"
"New Orleans, Louisiana","All you bitches out here lookin' gorgeous
I heard you flash your titties in New Orleans
I'm not participating but supportin'"
"Houston, Texas","Made it to the outro how you doin'?
I'm starting to think love is an illusion
Beyoncé is the greatest thing from Houston"
