,input,output,instruction
0,Atlanta,"Come over tonight my room is spotless
I'm sorry this outro is so chaotic
Atlanta it's official you're the hottest",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
1,Baltimore,"I'm sorry that this outro is chaotic
Don't call your ex, Katie, they are toxic
Baltimore I think that you're the hottest",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
2,Philadelphia,"This crowd is giving me all the endorphins
I wish someone would rearrange my organs
Philly is the city I was born in",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
3,Boston,"You're so hot, I must proceed with caution
It's wicked awesome to be here in Boston
If your ex wants you back it's gonna cost him",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
4,New York,"New York City you sold out the fastеst
That was why your second show was added
Everyone in this room is a bad bitch",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
5,New York,"New York City I would have your babies
You sold out two nights that shit is crazy
If I take a picture will you say cheese?

Washington, D.C., October 7, 2022
My favorite character in Friends is Pheobe
I'll only watch the Superbowl for Riri
The hottest people ever are in D.C.",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
6,Chicago,"Water ain't the only thing I swallow
I wish I could play right here tomorrow
My favorite city is Chicago",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
7,Toronto,"Toronto you're so cute, it's like a fake crowd
Put your hands up if you've been to Drake's house
Leave your hands up if you want to make out",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
8,Tempe,"Don't take off your shirt it's gonna tempt me
Everybody here is really sexy
Do you have a fever? Let me take your... Tempe",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
9,San Diego,"I think your face alone could get me prego
Millie Bobby Brown you're my Eggo
Yeah, I'm in motherfucking San Diego",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
10,Los Angeles,"I've got a personality but no tits
This song is not about Joshua Basset
Los Angeles your energy is big dick

San Francisco, California, October 16, 2022
If you only know the singles you're a fake fan
Anybody wanna be my best friend?
I know you know I'm gonna end with San Fran...cisco",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
11,Orlando,"Now is when I sing you something rando
Make some noise if you came here commando
I'm a slut for you, you know, Orlando",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
12,Teen Vogue Summit,I didn't write an outro for tonight's show,Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
13,The Grammy Museum,"I procrastinate, don't really plan these
Usually, I would say something nasty
But Imma keep it classy for the Grammys",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
14,Jimmy Kimmel Live!,"Hi mom, I'm on Kimmel, wish me good luck
Can't wait to read the mean tweets saying I suck
My New Year's resolution is give no fucks",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
